Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Lena Pope Home Inc.,TX,Healthcare Provider,3523,03/17/2025,Hacking/IT Incident,Email,No,
Klickitat Valley Health,WA,Healthcare Provider,531,03/14/2025,Hacking/IT Incident,Network Server,No,
"Welts, White, & Fontaine PC",NH,Business Associate,500,03/14/2025,Hacking/IT Incident,Network Server,Yes,
"CDHA Management, LLC and Spark DSO, LLC dba Chord Specialty Dental Partners",TN,Healthcare Provider,173430,03/14/2025,Hacking/IT Incident,Email,No,
Baylor Scott & White Texas Spine & Joint Hospital,TX,Healthcare Provider,1640,03/14/2025,Hacking/IT Incident,Email,No,
Lake Psychological Services,PA,Healthcare Provider,987,03/14/2025,Hacking/IT Incident,Network Server,No,
"Cottrill’s Pharmacy, Inc. DBA Cottrill’s Specialty Pharmacy ",NY,Healthcare Provider,2348,03/14/2025,Hacking/IT Incident,Network Server,No,
Columbia Eye Clinic ,SC,Healthcare Provider,500,03/14/2025,Hacking/IT Incident,Network Server,No,
Topy America Inc.,KY,Health Plan,1827,03/14/2025,Hacking/IT Incident,Network Server,No,
"CHC Solutions, Inc. ",PA,Healthcare Provider,794,03/13/2025,Hacking/IT Incident,Email,No,
PACE Greater New Orleans,LA,Healthcare Provider,715,03/13/2025,Unauthorized Access/Disclosure,Email,No,
"OCH Regional Medical Center, MS",MS,Healthcare Provider,51266,03/11/2025,Unauthorized Access/Disclosure,Other,No,
"Nice Healthcare Management Company, Inc",MN,Healthcare Provider,10000,03/10/2025,Hacking/IT Incident,Network Server,Yes,
Vision Upright MRI,CA,Healthcare Provider,23031,03/10/2025,Unauthorized Access/Disclosure,Network Server,No,
Rocky Mountain Regional VA Medical Center,CO,Healthcare Provider,1115,03/10/2025,Unauthorized Access/Disclosure,Email,No,
St. Charles County Ambulance District,MO,Healthcare Provider,1265,03/07/2025,Hacking/IT Incident,Email,No,
"Sunflower Medical Group, P.A.",KS,Healthcare Provider,220968,03/07/2025,Hacking/IT Incident,Network Server,No,
"Hand & Plastic Surgery Centre, PLC",MI,Healthcare Provider,19846,03/07/2025,Hacking/IT Incident,Network Server,No,
"United Seating and Mobility, LLC d/b/a Numotion ",TN,Healthcare Provider,494326,03/07/2025,Hacking/IT Incident,Email,No,
SCLARC,CA,Business Associate,722,03/06/2025,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",Yes,
"Madison County, MS ",MS,Health Plan,6082,03/05/2025,Hacking/IT Incident,Email,No,
"Hillcrest Convalescent Center, Inc. ",NC,Healthcare Provider,106194,03/04/2025,Hacking/IT Incident,Network Server,No,
"Bay Cove Human Services, Inc.",MA,Healthcare Provider,21295,03/03/2025,Hacking/IT Incident,Network Server,No,
Sutera & Jones Surgical Podiatry A Division of Pace Foot and Ankle Center,PA,Healthcare Provider,602,03/03/2025,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No,
Vernon Rehabilitation and Healthcare Center,CT,Healthcare Provider,5416,03/03/2025,Hacking/IT Incident,Network Server,No,
Manchester Rehabilitation and Healthcare Center,CT,Healthcare Provider,5415,03/03/2025,Hacking/IT Incident,Network Server,No,
Community Care Alliance,RI,Healthcare Provider,114975,03/01/2025,Hacking/IT Incident,Network Server,No,
"Scott County, Iowa",IA,Healthcare Provider,4336,02/28/2025,Hacking/IT Incident,Email,No,
Blue Shield of California ,CA,Health Plan,535,02/28/2025,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Total Medical Imaging ,FL,Healthcare Provider,27000,02/28/2025,Unauthorized Access/Disclosure,Other,Yes,
"Southeast Series of Lockton Companies, LLC (Lockton)",GA,Business Associate,1706,02/28/2025,Hacking/IT Incident,Network Server,Yes,
"Legacy Professionals, LLP",IL,Business Associate,216752,02/28/2025,Hacking/IT Incident,Network Server,Yes,
"NVW Newco, LLC ",AZ,Healthcare Provider,3232,02/28/2025,Unauthorized Access/Disclosure,Email,No,
United Community Health Center,IA,Healthcare Provider,750,02/28/2025,Hacking/IT Incident,Email,No,
Stram Center for Integrative Medicine,NY,Healthcare Provider,15263,02/28/2025,Theft,"Electronic Medical Record, Paper/Films",No,
"East Hawaii Rehab, Inc. DBA Lehua Physical Therapy and Rehab",HI,Healthcare Provider,8472,02/28/2025,Theft,"Other, Other Portable Electronic Device, Paper/Films",No,
Carolina Arthritis Associates,NC,Healthcare Provider,36961,02/27/2025,Hacking/IT Incident,Network Server,No,
SMC Corporation of America,IN,Health Plan,6566,02/27/2025,Hacking/IT Incident,Network Server,No,
Atlantis Operating LLC d/b/a The Phoenix Rehabilitation and Nursing Center,NY,Healthcare Provider,6459,02/26/2025,Hacking/IT Incident,Electronic Medical Record,Yes,
Palmetto Operating LLC d/b/a Palmetto Subacute Care Center (‘Palmetto’),FL,Healthcare Provider,2746,02/26/2025,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"HHH Acquisition, LLC d/b/a The Grove at Valhalla Rehabilitation and Nursing Center",NY,Healthcare Provider,4196,02/26/2025,Hacking/IT Incident,Electronic Medical Record,Yes,
Bassford Remele P.A.,MN,Business Associate,4435,02/25/2025,Hacking/IT Incident,Email,Yes,
Lake Washington Vascular,WA,Healthcare Provider,21534,02/25/2025,Hacking/IT Incident,Network Server,No,
Artistic Family Dental,IN,Healthcare Provider,3915,02/25/2025,Hacking/IT Incident,Network Server,No,
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,11435,02/24/2025,Theft,Other Portable Electronic Device,No,
"HealthRev Partners, LLC",MO,Business Associate,1446,02/20/2025,Hacking/IT Incident,Email,Yes,
Central New York Cardiology ,NY,Healthcare Provider,500,02/19/2025,Hacking/IT Incident,Network Server,No,
Consultants in Pain Medicine,TX,Healthcare Provider,1124,02/16/2025,Hacking/IT Incident,Network Server,No,
"Spring Management OK, LLC",OK,Business Associate,2494,02/14/2025,Hacking/IT Incident,Network Server,Yes,
"Restorix Health, Inc.",LA,Business Associate,38553,02/14/2025,Unauthorized Access/Disclosure,Email,Yes,
CDS in Texas,TX,Healthcare Provider,566,02/14/2025,Unauthorized Access/Disclosure,Email,No,
Charleston Area Medical Center,WV,Healthcare Provider,67413,02/14/2025,Hacking/IT Incident,Email,No,
"Children's Dental Center at Preston Trail, P.C. d/b/a Park Place Pediatric Dentistry (Arlington, TX) ",TN,Healthcare Provider,1690,02/14/2025,Theft,Laptop,No,
"Somnia, Inc.",NY,Business Associate,500,02/14/2025,Hacking/IT Incident,Email,Yes,
Fillmore County Hospital,NE,Healthcare Provider,3535,02/13/2025,Hacking/IT Incident,Email,No,
Precision Orthopedics and Sports Medicine,MD,Healthcare Provider,1903,02/13/2025,Hacking/IT Incident,Email,No,
Ottawa Family Physicians,KS,Healthcare Provider,501,02/13/2025,Hacking/IT Incident,Network Server,No,
UNITED BACKCARE PS dba Pacific Rehabilitation Centers,WA,Healthcare Provider,18900,02/11/2025,Hacking/IT Incident,Network Server,No,
New Era Life Insurance Companies,TX,Health Plan,335506,02/11/2025,Hacking/IT Incident,Network Server,No,
"Heartland Medical Clinic, Inc. dba Heartland Community Health Center",KS,Healthcare Provider,43768,02/10/2025,Hacking/IT Incident,Email,No,
Columbus Division of Fire,OH,Healthcare Provider,736,02/10/2025,Hacking/IT Incident,Network Server,No,
"CPS Solutions, LLC",OH,Business Associate,500,02/10/2025,Hacking/IT Incident,Email,Yes,
Authority of the City of Bainbridge and Decatur County (“Memorial Hospital & Manor”),GA,Healthcare Provider,120085,02/08/2025,Hacking/IT Incident,Network Server,No,
"Blue & Co., LLC",IN,Business Associate,501,02/07/2025,Hacking/IT Incident,Network Server,Yes,
St. Andrew’s Resources for Seniors System,MO,Healthcare Provider,4434,02/07/2025,Hacking/IT Incident,Email,No,
The League Treatment Center,NY,Healthcare Provider,825,02/06/2025,Hacking/IT Incident,Network Server,No,
"U.S. HEALTHWORKS-SMMPP, L.C.",AZ,Business Associate,10673,02/06/2025,Hacking/IT Incident,Network Server,Yes,
"Primary Health-SMMPP, L.C.",AZ,Business Associate,67567,02/06/2025,Hacking/IT Incident,Network Server,Yes,
Catholic Charities West Michigan,MI,Healthcare Provider,2000,02/06/2025,Hacking/IT Incident,Network Server,No,
"VectraRx Mail Pharmacy Services, LLC",AZ,Healthcare Provider,109383,02/06/2025,Hacking/IT Incident,Network Server,No,
City of McKinney,TX,Health Plan,17751,02/03/2025,Unauthorized Access/Disclosure,Network Server,No,
"ARC Community Services, Inc.",WI,Healthcare Provider,501,02/02/2025,Hacking/IT Incident,Network Server,No,
Jewish Child Care Association of New York,NY,Business Associate,501,01/31/2025,Hacking/IT Incident,Network Server,Yes,
"Infosys Public Services, Inc. (“Infosys”)",MD,Business Associate,2985,01/31/2025,Unauthorized Access/Disclosure,Network Server,Yes,
Regence BlueShield,OR,Business Associate,783,01/31/2025,Unauthorized Access/Disclosure,Network Server,Yes,
"Lucent Health Solutions, LLC",TN,Business Associate,37000,01/30/2025,Hacking/IT Incident,Email,Yes,
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,908,01/30/2025,Hacking/IT Incident,Network Server,No,
ZI NEUROSCIENCES,NJ,Healthcare Provider,1000,01/30/2025,Unauthorized Access/Disclosure,"Other, Paper/Films",No,
St Clair Orthopaedics & Sports Medicine,MI,Healthcare Provider,340000,01/30/2025,Hacking/IT Incident,Network Server,No,
"Community Health Center, Inc.",CT,Healthcare Provider,1060936,01/30/2025,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
"Cardiology of Virginia, Inc. ",VA,Healthcare Provider,21085,01/28/2025,Hacking/IT Incident,Network Server,No,
"Endo Group, LLC",NY,Healthcare Provider,4498,01/27/2025,Hacking/IT Incident,Email,No,
Spring River Mental Health & Wellness,KS,Healthcare Provider,3250,01/24/2025,Hacking/IT Incident,Network Server,No,
"OrthoMinds, LLC",GA,Business Associate,501,01/24/2025,Hacking/IT Incident,"Network Server, Other",Yes,
"Benefits Management Group, Inc. ",IL,Business Associate,501,01/24/2025,Hacking/IT Incident,Network Server,Yes,
"Aprendamos Intervention Team, P.A.",NM,Healthcare Provider,1916,01/23/2025,Unauthorized Access/Disclosure,Email,No,
Inlet Health dba Communicare ,KY,Healthcare Provider,3771,01/22/2025,Hacking/IT Incident,Network Server,No,
Apex Custom Software,TX,Business Associate,1500,01/22/2025,Hacking/IT Incident,Network Server,Yes,
"University Diagnostic Medical Imaging, PC",NY,Healthcare Provider,138080,01/21/2025,Hacking/IT Incident,Network Server,No,
LittleStar ABA Therapy,IN,Healthcare Provider,2530,01/21/2025,Hacking/IT Incident,Email,No,
"Holdrege Memorial Homes, Inc. ",NE,Healthcare Provider,1446,01/20/2025,Hacking/IT Incident,Network Server,No,
"OU Medicine, Inc. ",OK,Healthcare Provider,2537,01/17/2025,Hacking/IT Incident,Email,No,
Behavioral Health Resources,WA,Healthcare Provider,501,01/17/2025,Hacking/IT Incident,Network Server,No,
Allegheny Health Network Home Medical Equipment LLC and Allegheny Health Network Home Infusion LLC,PA,Healthcare Provider,292773,01/17/2025,Hacking/IT Incident,Network Server,Yes,
"Asheville Eye Associates, PLLC",NC,Healthcare Provider,204984,01/17/2025,Hacking/IT Incident,Network Server,No,
Texas Health and Human Services Commission,TX,Health Plan,61104,01/16/2025,Unauthorized Access/Disclosure,"Desktop Computer, Laptop",No,
Alliant Health Plans,GA,Health Plan,695,01/16/2025,Unauthorized Access/Disclosure,Paper/Films,No,
"Square Medical Group, LLC",MA,Healthcare Provider,2363,01/15/2025,Unauthorized Access/Disclosure,Email,Yes,
"Bankers Cooperative Group, Inc.",NJ,Business Associate,14403,01/14/2025,Hacking/IT Incident,Email,Yes,
"Han V. Duong, M.D.",CA,Healthcare Provider,1571,01/14/2025,Theft,Laptop,No,
Veterans Health Administration,DC,Healthcare Provider,1847,01/13/2025,Unauthorized Access/Disclosure,Paper/Films,No,
"Newport Harbor Pathology Medical Group, Inc.",CA,Healthcare Provider,501,01/10/2025,Hacking/IT Incident,Network Server,No,
Samaritan Counseling Center of the Fox Valley,WI,Healthcare Provider,956,01/10/2025,Hacking/IT Incident,Email,No,
Summa Health,OH,Healthcare Provider,874,01/10/2025,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Heritage Health Care,OH,Healthcare Provider,12162,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Washington Inc. (""Court House Manor"")",OH,Healthcare Provider,2489,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Warren Inc. (""Warren Manor"")",PA,Healthcare Provider,2709,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Wapakoneta Inc. (""Wapakoneta Manor"")",OH,Healthcare Provider,1862,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Van Wert Inc. (""Van Wert Manor"")",OH,Healthcare Provider,1604,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Sweden Valley Inc. (""Sweden Valley Manor"")",PA,Healthcare Provider,1768,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Shawnee Inc. (""Shawnee Manor"")",OH,Healthcare Provider,4395,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Roselawn Inc. (""Roselawn Manor"")",OH,Healthcare Provider,1208,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Piqua Inc. (""Piqua Manor"")",OH,Healthcare Provider,2969,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Perrysburg Inc. (""Manor at Perrysburg"")",OH,Healthcare Provider,2704,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Hempfield Inc. (""Hempfield Manor"")",PA,Healthcare Provider,4744,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Garbry Ridge (""Garbry Ridge"")",OH,Healthcare Provider,512,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Fox Run Inc. (""The Manor at Greendale"")",OH,Healthcare Provider,2333,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Fostoria Inc. (""St. Catherine's Manor of Fostoria"")",OH,Healthcare Provider,1253,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Findlay Inc. (""Fox Run Manor"")",OH,Healthcare Provider,3986,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Fairview Inc. (""Fairview Manor"")",PA,Healthcare Provider,2935,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Edinboro Inc. (""Edinboro Manor"")",PA,Healthcare Provider,2844,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Crestview Inc. (""Village at the Greene"")",OH,Healthcare Provider,1944,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Court House Inc. (""St. Catherine's Manor of Washington Court House"")",OH,Healthcare Provider,3012,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Corry Inc. (""Corry Manor"")",PA,Healthcare Provider,2620,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Celina Inc. (""Celina Manor"")",OH,Healthcare Provider,2321,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Briarwood Inc. (""Briarwood Village"")",OH,Healthcare Provider,2650,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Bradford Inc. (""Bradford Manor"")",PA,Healthcare Provider,1565,01/09/2025,Hacking/IT Incident,Network Server,Yes,
"HCF of Bowling Green, Inc. (""Bowling Green Manor"")",OH,Healthcare Provider,3500,01/09/2025,Hacking/IT Incident,Network Server,Yes,
MHMR Concho Valley,TX,Healthcare Provider,1338,01/09/2025,Hacking/IT Incident,Email,No,
Building Service Employees Insurance Health and Welfare Plan,MO,Health Plan,980,01/09/2025,Theft,Paper/Films,No,
"LifeBridge Health, Inc",MD,Healthcare Provider,4690,01/08/2025,Hacking/IT Incident,Email,No,
"BayMark Health Services, Inc.",TX,Business Associate,3170,01/08/2025,Hacking/IT Incident,Network Server,Yes,
"McNall & Associates, P.C.",AK,Business Associate,10175,01/08/2025,Hacking/IT Incident,Network Server,Yes,
Eastern Idaho Public Health,ID,Healthcare Provider,759,01/07/2025,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Medusind Inc.,FL,Business Associate,701475,01/07/2025,Hacking/IT Incident,Network Server,Yes,
"Indiana University Health, Affiliated Covered Entity",IN,Healthcare Provider,515,01/07/2025,Hacking/IT Incident,Email,No,
DentaQuest,WI,Health Plan,868,01/06/2025,Unauthorized Access/Disclosure,Paper/Films,No,
"Pediatric Home Respiratory Services, LLC d/b/a Pediatric Home Service",MN,Healthcare Provider,41792,01/06/2025,Hacking/IT Incident,Network Server,No,
North Los Angeles County Regional Center,CA,Business Associate,500,01/06/2025,Hacking/IT Incident,Network Server,Yes,
"Ingham County Medical Care Facility, d/b/a Dobie Road",MI,Healthcare Provider,3078,01/05/2025,Hacking/IT Incident,Electronic Medical Record,Yes,
"TruBridge, Inc. ",AL,Business Associate,3855,01/04/2025,Hacking/IT Incident,Email,Yes,
Buffalo Surgery Center,NY,Healthcare Provider,64000,01/04/2025,Hacking/IT Incident,Network Server,No,
Sidney Health Center,MT,Healthcare Provider,1370,01/03/2025,Unauthorized Access/Disclosure,Email,No,
"PrintComm, Inc.",MI,Business Associate,3864,01/02/2025,Unauthorized Access/Disclosure,Paper/Films,Yes,
Pacific Pulmonary Medical Group,CA,Healthcare Provider,12723,12/31/2024,Hacking/IT Incident,Network Server,No,
"Lifetime Psychiatry, LLC",MO,Healthcare Provider,16926,12/30/2024,Hacking/IT Incident,Email,No,
"Tycon Medical Systems, Inc.",VA,Healthcare Provider,112847,12/30/2024,Hacking/IT Incident,Network Server,No,
"Youngs Counseling, PLLC",TX,Healthcare Provider,790,12/30/2024,Unauthorized Access/Disclosure,Email,No,
Omaha Surgical Center,NE,Healthcare Provider,1110,12/30/2024,Hacking/IT Incident,Email,No,
Dragonfly Health,AZ,Business Associate,501,12/27/2024,Hacking/IT Incident,Email,Yes,
Judge Baker Children’s Center dba The Baker Center for Children and Families,MA,Healthcare Provider,2715,12/27/2024,Hacking/IT Incident,Network Server,No,
"Word & Brown Insurance Administrators, Inc. ",CA,Business Associate,501,12/23/2024,Hacking/IT Incident,"Desktop Computer, Network Server",Yes,
Dignity Health Lassen Medical Clinic ,CA,Healthcare Provider,65482,12/23/2024,Hacking/IT Incident,Network Server,No,
Khalil Foundation (DBA Khalil Center),IL,Healthcare Provider,1153,12/22/2024,Unauthorized Access/Disclosure,Network Server,No,
"Effortless Office Enterprises, LLC",NV,Business Associate,3112,12/20/2024,Hacking/IT Incident,Network Server,Yes,
In-Home Attendant Services Ltd.,TX,Healthcare Provider,22000,12/20/2024,Hacking/IT Incident,Network Server,No,
"HealthEquity, Inc.",UT,Business Associate,1549,12/20/2024,Hacking/IT Incident,Network Server,Yes,
"Vickers Engineering, Inc. ",MI,Health Plan,857,12/20/2024,Hacking/IT Incident,Network Server,No,
"AllyScripts, LLC",AL,Healthcare Provider,776,12/20/2024,Hacking/IT Incident,Network Server,No,
Youth Eastside Services,WA,Healthcare Provider,501,12/20/2024,Hacking/IT Incident,Network Server,No,
"Kansas City Hospice, Inc",MO,Healthcare Provider,3621,12/20/2024,Hacking/IT Incident,Network Server,No,
"Menorah Life, Inc.",FL,Healthcare Provider,2736,12/20/2024,Hacking/IT Incident,Electronic Medical Record,No,
BCBS of TX,IL,Health Plan,1028,12/20/2024,Unauthorized Access/Disclosure,Paper/Films,No,
Aetna ACE,CT,Health Plan,1317,12/20/2024,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes,
Alta Resources Corp.,WI,Health Plan,12162,12/20/2024,Hacking/IT Incident,Network Server,No,
Richmond University Medical Center,NY,Healthcare Provider,674033,12/19/2024,Hacking/IT Incident,Network Server,No,
Cardiology Associates of Mobile,AL,Healthcare Provider,172678,12/19/2024,Hacking/IT Incident,Network Server,No,
Golden Age Home Health Inc.,OK,Healthcare Provider,2280,12/18/2024,Hacking/IT Incident,Network Server,No,
"CHCM, Inc. dba College Hospital Costa Mesa",CA,Healthcare Provider,591,12/18/2024,Hacking/IT Incident,Network Server,No,
"Ott Cone & Redpath, P.A.",NC,Business Associate,22171,12/18/2024,Hacking/IT Incident,Email,Yes,
"Indiana University Health, Affiliated Covered Entity",IN,Healthcare Provider,3862,12/17/2024,Hacking/IT Incident,Email,No,
"PracticeSuite, Inc.",FL,Business Associate,13000,12/17/2024,Hacking/IT Incident,Other,Yes,
"Regional Care, Inc.",NE,Healthcare Clearing House,225728,12/17/2024,Hacking/IT Incident,Network Server,No,
California Correctional Health Care Services ,CA,Healthcare Provider,1416,12/17/2024,Loss,Paper/Films,No,
Kitsap Mental Health Services,WA,Healthcare Provider,500,12/16/2024,Hacking/IT Incident,Network Server,No,
Massachusetts Department of Mental Health,MA,Healthcare Provider,959,12/16/2024,Loss,"Other, Other Portable Electronic Device",No,
Teton Orthopaedics,PA,Healthcare Provider,13409,12/16/2024,Hacking/IT Incident,Network Server,No,
"VisionPoint Eye Center, PLLC ",IL,Healthcare Provider,66926,12/15/2024,Hacking/IT Incident,Network Server,No,
Brockton Neighborhood Health Center,MA,Healthcare Provider,97488,12/13/2024,Hacking/IT Incident,Network Server,No,
"Summit Medical Group, PLLC",TN,Healthcare Provider,464159,12/13/2024,Hacking/IT Incident,Email,No,
Northwest Asthma and Allergy Center,WA,Healthcare Provider,1000,12/12/2024,Hacking/IT Incident,Email,No,
"ConnectOnCall.com, LLC",DE,Business Associate,914138,12/11/2024,Hacking/IT Incident,Network Server,Yes,
"El Paso Healthcare System, Ltd. d/b/a Las Palmas Del Sol Healthcare",TX,Healthcare Provider,1854,12/11/2024,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Insured Recovery,TN,Healthcare Provider,850,12/11/2024,Hacking/IT Incident,Network Server,No,
River Region Cardiology,AL,Healthcare Provider,48600,12/11/2024,Hacking/IT Incident,Network Server,No,
"Rumpke Consolidated Companies, Inc. & Affiliates Benefits Plan",OH,Health Plan,16946,12/10/2024,Hacking/IT Incident,Network Server,No,
Hartson-Kennedy Inc. Group Benefit Plan,IN,Health Plan,619,12/09/2024,Hacking/IT Incident,Network Server,No,
UT Southwestern Medical Center,TX,Healthcare Provider,43048,12/09/2024,Unauthorized Access/Disclosure,Email,No,
Center for Vein Restoration,MD,Business Associate,446094,12/05/2024,Hacking/IT Incident,Network Server,Yes,
Veterans Health Administration,DC,Healthcare Provider,2302,12/03/2024,Hacking/IT Incident,Network Server,Yes,
"FC Compassus, LLC",TN,Healthcare Provider,2703,12/02/2024,Hacking/IT Incident,Email,Yes,
Village of Elm Grove,WI,Healthcare Provider,668,12/02/2024,Hacking/IT Incident,Network Server,No,
SAG-AFTRA Health Plan,CA,Health Plan,35592,12/02/2024,Hacking/IT Incident,Email,No,
Atrium Health,NC,Healthcare Provider,585959,12/02/2024,Unauthorized Access/Disclosure,Network Server,No,
"Jefferson Dental Center, Inc.",IN,Healthcare Provider,12340,11/27/2024,Hacking/IT Incident,Network Server,No,
Hardin County Emergency Medical Services,KY,Healthcare Provider,1046,11/27/2024,Hacking/IT Incident,Email,No,
Colonial Behavioral Health,VA,Healthcare Provider,29930,11/27/2024,Hacking/IT Incident,Network Server,No,
"Continental Cafe Holdings, LLC Health Plan",MI,Health Plan,5039,11/27/2024,Hacking/IT Incident,Network Server,No,
Georgia Department of Public Health,GA,Healthcare Provider,500,11/26/2024,Hacking/IT Incident,Email,No,
Texas Tech University Health Sciences Center El Paso,TX,Healthcare Provider,815000,11/25/2024,Hacking/IT Incident,Network Server,No,
Texas Tech University Health Sciences Center,TX,Healthcare Provider,650000,11/25/2024,Hacking/IT Incident,Network Server,No,
Citadel of Northbrook,IL,Healthcare Provider,2155,11/25/2024,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
Pavilion of Bridgeview,IL,Healthcare Provider,1407,11/25/2024,Hacking/IT Incident,Electronic Medical Record,Yes,
"American Addiction Centers, Inc.",TN,Business Associate,410747,11/25/2024,Hacking/IT Incident,Network Server,Yes,
Conceptions Reproductive Associates of Colorado,CO,Healthcare Provider,80000,11/25/2024,Hacking/IT Incident,Network Server,No,
"Vann Virginia Center for Orthopaedics, PC dba Atlantic Orthopaedic Specialists",VA,Healthcare Provider,15264,11/22/2024,Hacking/IT Incident,Email,No,
"East Paris Internal Medicine Associates, PC",MI,Healthcare Provider,5239,11/22/2024,Unauthorized Access/Disclosure,Email,No,
Lubbock County Hospital District,TX,Healthcare Provider,501,11/22/2024,Hacking/IT Incident,Network Server,No,
Pinnacle Claims Management,CA,Business Associate,1119,11/21/2024,Hacking/IT Incident,Network Server,Yes,
"East Central Missouri Behavioral Health Services, Inc.",MO,Healthcare Provider,20000,11/21/2024,Hacking/IT Incident,Network Server,No,
York County ,PA,Healthcare Provider,501,11/20/2024,Hacking/IT Incident,Email,No,
Laboratory Services Cooperative ,WA,Healthcare Provider,501,11/20/2024,Hacking/IT Incident,Network Server,No,
"Enso Counseling Group, PLLC",NH,Healthcare Provider,943,11/20/2024,Hacking/IT Incident,Email,No,
